0,1,2,3,4
-0.15,-0.1632766322026984,-0.02,-0.14156284354822204,-0.14999999999999988
-0.05,-0.05179225962721304,-0.03,-0.09228366357512881,-0.05000000000000035
0.01,-0.002969847542878941,-0.03,-0.00425816994614576,0.010000000000000108
0.06,0.06838821983719844,-0.03,0.013596436190423423,0.06000000000000006
0.085,0.10231468736657708,-0.025,0.04728354442595045,0.08500000000000041
0.08,0.09684701787420652,-0.015,0.08148841665740822,0.08000000000000036
0.055,0.07176837626365681,-0.01,0.07250920888070018,0.05500000000000047
0.02,0.02564610933579905,0.0,0.06751144703926654,0.020000000000000216
-0.01,-0.00527488843613732,0.005,0.053661863618574085,-0.009999999999999737
-0.035,-0.04241856939295442,0.01,0.020643064625788105,-0.03499999999999999
-0.04,-0.04669262769425632,0.01,0.002950110476169582,-0.040000000000000056
-0.03,-0.028204809734345637,0.015,-0.016369449934575148,-0.030000000000000176
-0.005,-0.004410474971360086,0.015,-0.03804958300158016,-0.005000000000000126
0.025,0.022193566228099492,0.02,-0.038998855951968614,0.024999999999999793
0.05,0.056431608952924435,0.02,-0.03582479271722992,0.049999999999999954
0.065,0.06405129289320477,0.02,-0.02731843927785967,0.06500000000000002
0.065,0.05809575846416777,0.02,-0.004175739180651892,0.06500000000000003
0.055,0.05459237164683471,0.015,0.016536500159058738,0.055
0.035,0.0495430683791057,0.005,0.035738484986654995,0.034999999999999934
0.01,0.008058447883729454,-0.005,0.05518491282629897,0.00999999999999987
-0.01,0.004841531235470171,-0.015,0.06344062612780106,-0.010000000000000179
-0.025,-0.02238678430866647,-0.03,0.06507170727233434,-0.025000000000000272
-0.03,-0.012881437772521612,-0.04,0.06224942512887093,-0.030000000000000263
-0.03,-0.038298267674901895,-0.05,0.05107053362700639,-0.030000000000000145
-0.02,-0.018202001369918865,-0.055,0.03584336088096032,-0.020000000000000157
-0.015,-0.02413474138296713,-0.055,0.017865868300802314,-0.01499999999999986
-0.01,-0.016908579028628797,-0.05,-0.00022762451062894644,-0.009999999999999868
-0.01,-0.006307755469604832,-0.04,-0.013924860562165787,-0.009999999999999771
-0.01,-0.004011521751441399,-0.025,-0.024316351288930255,-0.009999999999999683
-0.015,-0.020922663357371456,-0.015,-0.030566962273197756,-0.014999999999999746
-0.02,-0.008394141408995175,0.0,-0.032204589662601646,-0.019999999999999855
-0.02,-0.01224330455831574,0.01,-0.0297551071305426,-0.01999999999999972
-0.02,-0.020613096161425398,0.02,-0.023165392042460545,-0.01999999999999974
-0.015,-0.0032468168450965115,0.02,-0.017812234984240668,-0.014999999999999753
-0.01,0.0033027385204629067,0.02,-0.015050731251201219,-0.009999999999999813
-0.005,-0.007780676082441693,0.015,-0.012047343355192055,-0.004999999999999858
-0.005,0.004362230185344326,0.005,-0.011433858359261345,-0.004999999999999825
-0.01,-0.007988438126905967,-0.01,-0.012140911447408594,-0.009999999999999816
-0.02,-0.016995233487347296,-0.02,-0.01305068377070075,-0.0199999999999998
-0.03,-0.03384595749712596,-0.035,-0.01778910329378867,-0.029999999999999957
-0.035,-0.03629835927430895,-0.04,-0.021602570480272795,-0.034999999999999906
-0.04,-0.05321374335973712,-0.045,-0.021134361172909597,-0.04000000000000011
-0.04,-0.03127565157649414,-0.05,-0.021484700712211993,-0.04000000000000013
-0.035,-0.0320175252258643,-0.045,-0.020693996439984663,-0.035000000000000295
-0.025,-0.03563510051180628,-0.04,-0.016407858717523538,-0.025000000000000237
-0.01,-0.013376533593226872,-0.03,-0.012690607997259316,-0.010000000000000292
0.0,-0.005855471282511229,-0.02,-0.008958894737029644,-3.0737215934117045e-16
0.005,-0.01422575176710646,-0.005,-0.005271351215586662,0.005000000000000001
0.005,0.005652760477882306,0.01,-0.005541532945357903,0.004999999999999607
0.0,-0.006840912123714751,0.025,-0.008749147930234107,7.767513420434543e-17
-0.015,-0.01129294958263155,-0.15,-0.014004013467408498,-0.015000000000000084
-0.025,-0.012653954927289162,-0.05,-0.02216010533146031,-0.02500000000000009
-0.03,-0.02604839177296573,0.01,-0.029087786717674625,-0.030000000000000058
-0.035,-0.040117767188266075,0.06,-0.03286337441816645,-0.03500000000000026
-0.03,-0.04242727601655895,0.085,-0.03687623689982184,-0.030000000000000044
-0.02,-0.01826669537875363,0.08,-0.04010320434485894,-0.019999999999999997
-0.01,-0.012836697466894894,0.055,-0.03952513815131838,-0.009999999999999863
0.005,0.0014739314652214438,0.02,-0.03665195831241777,0.005000000000000061
0.01,0.02500943438087455,-0.01,-0.031494099148052054,0.010000000000000273
0.01,-0.003074078057834183,-0.035,-0.02220265965223293,0.010000000000000201
0.005,0.003701278445683497,-0.04,-0.01171785674148213,0.005000000000000161
-0.01,0.0027673775891288513,-0.03,-0.0037017492192571687,-0.01
-0.025,-0.02349394756371285,-0.005,0.0013978543144828074,-0.025000000000000154
-0.04,-0.0533894374580271,0.025,0.003466991954936538,-0.04000000000000026
-0.05,-0.031722867479246526,0.05,0.0033738494241214783,-0.05000000000000039
-0.06,-0.05209054078449926,0.065,0.0007234347605351047,-0.060000000000000366
-0.06,-0.05365366511062994,0.065,-0.007554874632513832,-0.06000000000000039
-0.055,-0.07293503552363545,0.055,-0.018698078070175858,-0.05500000000000025
-0.045,-0.052818284122170905,0.035,-0.025664570560041445,-0.04500000000000006
-0.04,-0.03914520003674161,0.01,-0.028951924524862394,-0.03999999999999977
-0.035,-0.03796198750176653,-0.01,-0.03291758534603011,-0.03499999999999974
-0.03,-0.024057842356098744,-0.025,-0.034980100610299464,-0.029999999999999662
-0.03,-0.03156605443303865,-0.03,-0.030370187620255864,-0.029999999999999576
